Year,Link,Table Title,Category,Rank,Player,Country,MATCH RECORD,Prize,Team Link,Pokémon 1,Pokémon 2,Pokémon 3,Pokémon 4,Pokémon 5,Pokémon 6,Forms 1,Forms 2,Forms 3,Forms 4,Forms 5,Forms 6
2015,https://www.vgcpedia.com/2015-pokemon-world-championships/,Table 2,Masters,1,Shoma Honami🇯🇵,,5-2,,,Kangaskhan,Landorus,Thundurus,Amoonguss,Heatran,Cresselia,Mega Kangaskhan,Landorus therian,Thundurus,Amoonguss,Heatran,Cresselia
2015,https://www.vgcpedia.com/2015-pokemon-world-championships/,Table 2,Masters,2,Hideyuki Taida🇯🇵,,6-1,,,Kangaskhan,Landorus,Thundurus,Volcarona,Aegislash,Cresselia,Mega Kangaskhan,Landorus therian,Thundurus,Volcarona,Aegislash shield,Cresselia
2015,https://www.vgcpedia.com/2015-pokemon-world-championships/,Table 2,Masters,3,Yosuke Isagi🇯🇵,,7-0,,,Kangaskhan,Landorus,Thundurus,Sylveon,Heatran,Aegislash,Mega Kangaskhan,Landorus therian,Thundurus,Sylveon,Heatran,Aegislash shield
2015,https://www.vgcpedia.com/2015-pokemon-world-championships/,Table 2,Masters,4,Naohito Mizobuchi🇯🇵,,6-1,,,Kangaskhan,Landorus,Entei,Amoonguss,Aegislash,Cresselia,Mega Kangaskhan,Landorus therian,Entei,Amoonguss,Aegislash shield,Cresselia
2015,https://www.vgcpedia.com/2015-pokemon-world-championships/,Table 2,Masters,5,Daiki Moriyama🇯🇵,,6-1,,,Kangaskhan,Landorus,Tyranitar,Amoonguss,Heatran,Cresselia,Mega Kangaskhan,Landorus therian,Tyranitar,Amoonguss,Heatran,Cresselia
2015,https://www.vgcpedia.com/2015-pokemon-world-championships/,Table 2,Masters,6,Daichi Kumabe🇯🇵,,6-1,,,Gardevoir,Landorus,Thundurus,Tyranitar,Amoonguss,Heatran,Mega-Gardevoir,Landorus therian,Thundurus,Tyranitar,Amoonguss,Heatran
2015,https://www.vgcpedia.com/2015-pokemon-world-championships/,Table 2,Masters,7,Hayato Takahashi🇯🇵,,5-2,,,Kangaskhan,Landorus,Scrafty,Amoonguss,Heatran,Cresselia,Mega Kangaskhan,Landorus therian,Scrafty,Amoonguss,Heatran,Cresselia
2015,https://www.vgcpedia.com/2015-pokemon-world-championships/,Table 2,Masters,8,Lajos Woltersorf🇩🇪,,5-2,,,Gardevoir,Landorus,Rotom,Hydreigon,Amoonguss,Heatran,Mega-Gardevoir,Landorus therian,Rotom Wash,Hydreigon,Amoonguss,Heatran
2016,https://www.vgcpedia.com/2016-pokemon-world-championships/,Table 1,Junior/Senior,1,Carson Confer🇺🇸,,–,,,Groudon,Kyogre,Kangaskhan,Thundurus,Bronzong,Cresselia,Primal Groudon,Primal Kyogre,Mega Kangaskhan,Thundurus,Bronzong,Cresselia
2016,https://www.vgcpedia.com/2016-pokemon-world-championships/,Table 1,Junior/Senior,2,Shu Harasaki🇯🇵,,–,,,Groudon,Kyogre,Kangaskhan,Whimsicott,Ferrothorn,Cresselia,Primal Groudon,Primal Kyogre,Mega Kangaskhan,Whimsicott,Ferrothorn,Cresselia
2016,https://www.vgcpedia.com/2016-pokemon-world-championships/,Table 1,Junior/Senior,2,Yuki Wata🇯🇵,,–,,,Groudon,Xerneas,Kangaskhan,Salamence,Smeargle,Talonflame,Primal Groudon,Xerneas,Mega Kangaskhan,Mega-Salamence,Smeargle,Talonflame
2016,https://www.vgcpedia.com/2016-pokemon-world-championships/,Table 1,Junior/Senior,3,Mostafa Afr🇺🇸,,–,,,Groudon,Kyogre,Gengar,Terrakion,Whimsicott,Crobat,Primal Groudon,Primal Kyogre,Mega-Gengar,Terrakion,Whimsicott,Crobat
2016,https://www.vgcpedia.com/2016-pokemon-world-championships/,Table 1,Junior/Senior,3,Rikuto Noda🇯🇵,,–,,,Groudon,Xerneas,Kangaskhan,Salamence,Smeargle,Talonflame,Primal Groudon,Xerneas,Mega Kangaskhan,Mega-Salamence,Smeargle,Talonflame
2016,https://www.vgcpedia.com/2016-pokemon-world-championships/,Table 1,Junior/Senior,4,Enzo Rezi🇺🇸,,–,,,Groudon,Xerneas,Kangaskhan,Salamence,Smeargle,Talonflame,Primal Groudon,Xerneas,Mega Kangaskhan,Mega-Salamence,Smeargle,Talonflame
2016,https://www.vgcpedia.com/2016-pokemon-world-championships/,Table 1,Junior/Senior,4,Kazuki Ogushi🇯🇵,,–,,,Groudon,Xerneas,Kangaskhan,Salamence,Smeargle,Talonflame,Primal Groudon,Xerneas,Mega Kangaskhan,Mega-Salamence,Smeargle,Talonflame
2016,https://www.vgcpedia.com/2016-pokemon-world-championships/,Table 1,Junior/Senior,6,Nils Dunlop🇸🇪,,–,,,Kyogre,Rayquaza,Kangaskhan,Kangaskhan,Thundurus,Aegislash,Primal Kyogre,Mega-Rayquaza,Mega Kangaskhan,Mega Kangaskhan,Thundurus,Aegislash shield
2016,https://www.vgcpedia.com/2016-pokemon-world-championships/,Table 1,Junior/Senior,7,Daravone Souphommanychanh🇨🇦,,–,,,Groudon,Kyogre,Kangaskhan,Salamence,Thundurus,Bronzong,Primal Groudon,Primal Kyogre,Mega Kangaskhan,Mega-Salamence,Thundurus,Bronzong
2016,https://www.vgcpedia.com/2016-pokemon-world-championships/,Table 1,Junior/Senior,8,Brendan Zheng🇺🇸,,–,,,Kyogre,Rayquaza,Gengar,Hitmontop,Raichu,Bronzong,Primal Kyogre,Mega-Rayquaza,Mega-Gengar,Hitmontop,Raichu,Bronzong
2016,https://www.vgcpedia.com/2016-pokemon-world-championships/,Table 1,Junior/Senior,1,Cory Connor🇺🇸,,–,,,Kyogre,Rayquaza,Thundurus,Hitmontop,Togekiss,Scizor,Primal Kyogre,Mega-Rayquaza,Thundurus,Hitmontop,Togekiss,Scizor
2016,https://www.vgcpedia.com/2016-pokemon-world-championships/,Table 1,Junior/Senior,5,Hong Ju Houng🇰🇷,,–,,,Kyogre,Rayquaza,Mawile,Landorus,Cresselia,Amoonguss,Primal Kyogre,Mega-Rayquaza,Mega mawile,Landorus therian,Cresselia,Amoongus
2016,https://www.vgcpedia.com/2016-pokemon-world-championships/,Table 2,Masters,1,Wolfe Glick🇺🇸,,6-1,,,Kyogre,Rayquaza,Gengar,Hitmontop,Raichu,Bronzong,Primal Kyogre,Mega-Rayquaza,Mega-Gengar,Hitmontop,Raichu,Bronzong
2016,https://www.vgcpedia.com/2016-pokemon-world-championships/,Table 2,Masters,2,Jonathan Evans🇺🇸,,5-2,,,Groudon,Kyogre,Gengar,Manectric,Talonflame,Bronzong,Primal Groudon,Primal Kyogre,Mega-Gengar,Mega manectric,Talonflame,Bronzong
2016,https://www.vgcpedia.com/2016-pokemon-world-championships/,Table 2,Masters,3,Markus Stadter🇩🇪,,5-2,,,Kyogre,Rayquaza,Gengar,Hitmontop,Raichu,Bronzong,Primal Kyogre,Mega-Rayquaza,Mega-Gengar,Hitmontop,Raichu,Bronzong
2016,https://www.vgcpedia.com/2016-pokemon-world-championships/,Table 2,Masters,4,Eduardo Cunha🇵🇹,,5-2,,,Groudon,Xerneas,Kangaskhan,Thundurus,Hitmontop,Bronzong,Primal Groudon,Xerneas,Mega Kangaskhan,Thundurus,Hitmontop,Bronzong
2016,https://www.vgcpedia.com/2016-pokemon-world-championships/,Table 2,Masters,5,Aaron Traylor🇺🇸,,7-0,,,Groudon,Xerneas,Salamence,Smeargle,Cresselia,Bronzong,Primal Groudon,Xerneas,Mega-Salamence,Smeargle,Cresselia,Bronzong
2016,https://www.vgcpedia.com/2016-pokemon-world-championships/,Table 2,Masters,6,Justin Carris🇺🇸,,6-1,,,Kyogre,Xerneas,Salamence,Infernape,Amoonguss,Bronzong,Primal Kyogre,Xerneas,Mega-Salamence,Infernape,Amoonguss,Bronzong
2016,https://www.vgcpedia.com/2016-pokemon-world-championships/,Table 2,Masters,7,Barry Anderson🇬🇧,,6-1,,,Rayquaza,Xerneas,Thundurus,Scrafty,Volcarona,Smeargle,Mega-Rayquaza,Xerneas,Thundurus,Scrafty,Volcarona,Smeargle
2016,https://www.vgcpedia.com/2016-pokemon-world-championships/,Table 2,Masters,8,Baris Ackos🇩🇪,,5-2,,,Kyogre,Rayquaza,Gengar,Hitmontop,Raichu,Bronzong,Primal Kyogre,Mega-Rayquaza,Mega-Gengar,Hitmontop,Raichu,Bronzong
2017,https://www.vgcpedia.com/2017-pokemon-world-championships/,Table 1,Junior/Senior,1,Hong Juyoung🇰🇷,,5-2,,,Tapu Koko,Arcanine,Kartana,Mudsdale,Araquanid,Porygon2,Tapu Koko,Arcanine,Kartana,Mudsdale,Araquanid,Porygon2
2017,https://www.vgcpedia.com/2017-pokemon-world-championships/,Table 1,Junior/Senior,1,Nicholas Kan🇦🇺,,4-2,,,Tapu Koko,Arcanine,Gyarados,Garchomp,Snorlax,Porygon2,Tapu Koko,Arcanine,Gyarados,Garchomp,Snorlax,Porygon2
2017,https://www.vgcpedia.com/2017-pokemon-world-championships/,Table 1,Junior/Senior,2,Tomás Serrano🇪🇸,,4-2,,,Torkoal,Hariyama,Lucario,Gigalith,Celesteela,Oranguru,Torkoal,Hariyama,Lucario,Gigalith,Celesteela,Oranguru
2017,https://www.vgcpedia.com/2017-pokemon-world-championships/,Table 1,Junior/Senior,2,Yuki Wata🇯🇵,,5-2,,,Tapu Koko,Tapu Fini,Arcanine,Kartana,Gigalith,Porygon2,Tapu Koko,Tapu Fini,Arcanine,Kartana,Gigalith,Porygon2
2017,https://www.vgcpedia.com/2017-pokemon-world-championships/,Table 1,Junior/Senior,3,William Sepesi🇺🇸,,6-1,,,Tapu Koko,Tapu Bulu,Arcanine,Mudsdale,Araquanid,Porygon2,Tapu Koko,Tapu Bulu,Arcanine,Mudsdale,Araquanid,Porygon2
2017,https://www.vgcpedia.com/2017-pokemon-world-championships/,Table 1,Junior/Senior,3,Wonn Lee🇯🇵,,5-1,,,Tapu Fini,Arcanine,Kartana,Ninetales,Snorlax,Mimikyu,Tapu Fini,Arcanine,Kartana,Alolan Ninetales,Snorlax,Mimikyu
2017,https://www.vgcpedia.com/2017-pokemon-world-championships/,Table 1,Junior/Senior,4,Beau Berg🇺🇸,,5-2,,,Tapu Koko,Tapu Bulu,Arcanine,Mudsdale,Araquanid,Porygon2,Tapu Koko,Tapu Bulu,Arcanine,Mudsdale,Araquanid,Porygon2
2017,https://www.vgcpedia.com/2017-pokemon-world-championships/,Table 1,Junior/Senior,4,Zachary Lazaroff🇺🇸,,4-2,,,Tapu Lele,Xurkitree,Pheromosa,Nihilego,Smeargle,Celesteela,Tapu Lele,Xurkitree,Pheromosa,Nihilego,Smeargle,Celesteela
2017,https://www.vgcpedia.com/2017-pokemon-world-championships/,Table 1,Junior/Senior,5,Taiki Okamoto🇯🇵,,6-1,,,Tapu Koko,Tapu Fini,Whimsicott,Gigalith,Celesteela,Porygon2,Tapu Koko,Tapu Fini,Whimsicott,Gigalith,Celesteela,Porygon2
2017,https://www.vgcpedia.com/2017-pokemon-world-championships/,Table 1,Junior/Senior,6,Parth Patel🇺🇸,,5-2,,,Tapu Koko,Tapu Fini,Arcanine,Kartana,Gigalith,Porygon2,Tapu Koko,Tapu Fini,Arcanine,Kartana,Gigalith,Porygon2
2017,https://www.vgcpedia.com/2017-pokemon-world-championships/,Table 1,Junior/Senior,7,Izumi Motoe🇯🇵,,6-1,,,Tapu Koko,Tapu Lele,Arcanine,Garchomp,Metagross,Mandibuzz,Tapu Koko,Tapu Lele,Arcanine,Garchomp,Metagross,Mandibuzz
2017,https://www.vgcpedia.com/2017-pokemon-world-championships/,Table 1,Junior/Senior,8,Chang Joonseo🇰🇷,,5-2,,,Tapu Koko,Arcanine,Ninetales,Gastrodon,Snorlax,Celesteela,Tapu Koko,Arcanine,Alolan Ninetales,Gastrodon,Snorlax,Celesteela
2017,https://www.vgcpedia.com/2017-pokemon-world-championships/,Table 2,Masters,2,Sam Pandelis🇦🇺,,5-2,,,Tapu Lele,Arcanine,Xurkitree,Ninetales,Mandibuzz,Garchomp,Tapu Lele,Arcanine,Xurkitree,Alolan Ninetales,Mandibuzz,Garchomp
2017,https://www.vgcpedia.com/2017-pokemon-world-championships/,Table 2,Masters,7,René Alvarenga🇸🇻,,5-2,,,Tapu Koko,Tapu Fini,Arcanine,Celesteela,Hariyama,Garchomp,Tapu Koko,Tapu Fini,Arcanine,Celesteela,Hariyama,Garchomp
2017,https://www.vgcpedia.com/2017-pokemon-world-championships/,Table 2,Masters,1,Ryota Otsubo🇯🇵,,5-2,,,Tapu Koko,Tapu Fini,Krookodile,Marowak,Whimsicott,Celesteela,Tapu Koko,Tapu Fini,Krookodile,Alolan Marowak,Whimsicott,Celesteela
2017,https://www.vgcpedia.com/2017-pokemon-world-championships/,Table 2,Masters,3,Paul Ruiz🇪🇨,,6-1,,,Tapu Koko,Salamence,Marowak,Persian,Snorlax,Celesteela,Tapu Koko,Salamence,Alolan Marowak,Alolan Persian,Snorlax,Celesteela
2017,https://www.vgcpedia.com/2017-pokemon-world-championships/,Table 2,Masters,4,Tomoyuki Yoshimura🇯🇵,,5-2,,,Tapu Koko,Salamence,Metagross,Buzzwole,Nihilego,Gastrodon,Tapu Koko,Salamence,Metagross,Buzzwhole,Nihilego,Gastrodon
2017,https://www.vgcpedia.com/2017-pokemon-world-championships/,Table 2,Masters,5,Nils Dunlop🇸🇪,,7-0,,,Tapu Koko,Arcanine,Persian,Nihilego,Snorlax,Mimikyu,Tapu Koko,Arcanine,Alolan Persian,Nihilego,Snorlax,Mimikyu
2017,https://www.vgcpedia.com/2017-pokemon-world-championships/,Table 2,Masters,6,Sebastián Escalante🇦🇷,,6-1,,,Tapu Koko,Politoed,Golduck,Buzzwole,Muk,Klefki,Tapu Koko,Politoed,Golduck,Buzzwhole,Alolan muk,Klefki
2017,https://www.vgcpedia.com/2017-pokemon-world-championships/,Table 2,Masters,8,Dorián-Andrés Quiñones🇵🇪,,5-2,,,Tapu Koko,Arcanine,Kartana,Nihilego,Araquanid,Porygon2,Tapu Koko,Arcanine,Kartana,Nihilego,Araquanid,Porygon2
2018,https://www.vgcpedia.com/2018-pokemon-world-championships/,Table 1,Junior/Senior,1,Wonn Lee🇰🇷,,5-1,,,Gengar,Tapu Bulu,Terrakion,Whimsicott,Kommo-o,Snorlax,Mega-Gengar,Tapu Bulu,Terrakion,Whimsicott,Kommo-o,Snorlax
2018,https://www.vgcpedia.com/2018-pokemon-world-championships/,Table 1,Junior/Senior,2,Bram de Jonge🇳🇱,,4-2,,,Blaziken,Tapu Bulu,Bisharp,Amoonguss,Snorlax,Porygon2,Mega-Blaziken,Tapu Bulu,Bisharp,Amoonguss,Snorlax,Porygon2
2018,https://www.vgcpedia.com/2018-pokemon-world-championships/,Table 1,Junior/Senior,2,Sota Tamemasa🇯🇵,,4-2,,,Mawile,Pelipper,Dusclops,Snorlax,Mimikyu,Oranguru,Mega mawile,Pelipper,Dusclops,Snorlax,Mimikyu,Oranguru
2018,https://www.vgcpedia.com/2018-pokemon-world-championships/,Table 1,Junior/Senior,3,Yujiro Arai🇯🇵,,5-1,,,Charizard,Metagross,Tapu Lele,Landorus,Heatran,Cresselia,Mega-Charizard Y,Mega-Metagross,Tapu Lele,Landorus therian,Heatran,Cresselia
2018,https://www.vgcpedia.com/2018-pokemon-world-championships/,Table 1,Junior/Senior,4,Bilel Lakehal,,4-2,,,Lopunny,Torkoal,Xurkitree,Snorlax,Mimikyu,Cresselia,Mega-Lopunny,Torkoal,Xurkitree,Snorlax,Mimikyu,Cresselia
2018,https://www.vgcpedia.com/2018-pokemon-world-championships/,Table 1,Junior/Senior,4,Gabriel Durán🇵🇪,,4-2,,,Charizard,Metagross,Tapu Lele,Landorus,Amoonguss,Nihilego,Mega-Charizard Y,Mega-Metagross,Tapu Lele,Landorus therian,Amoonguss,Nihilego
2018,https://www.vgcpedia.com/2018-pokemon-world-championships/,Table 1,Junior/Senior,6,Víctor Medina🇪🇸,,4-2,,,Charizard,Tapu Lele,Landorus,Tyranitar,Kartana,Porygon2,Mega-Charizard Y,Tapu Lele,Landorus therian,Tyranitar,Kartana,Porygon2
2018,https://www.vgcpedia.com/2018-pokemon-world-championships/,Table 1,Junior/Senior,7,Zach Kelly🇸🇬,,4-2,,,Kangaskhan,Tapu Fini,Landorus,Bisharp,Zapdos,Volcarona,Mega Kangaskhan,Tapu Fini,Landorus therian,Bisharp,Zapdos,Volcarona
2018,https://www.vgcpedia.com/2018-pokemon-world-championships/,Table 1,Junior/Senior,1,James Evans🇺🇸,,5-1,,,Gardevoir,Tapu Koko,Landorus,Araquanid,Porygon2,Incineroar,Mega-Gardevoir,Tapu Koko,Landorus therian,Araquanid,Porygon2,Incineroar
2018,https://www.vgcpedia.com/2018-pokemon-world-championships/,Table 1,Junior/Senior,3,Shota Yamada🇯🇵,,4-2,,,Venusaur,Metagross,Tapu Koko,Snorlax,Porygon2,Incineroar,Mega-Venusaur,Mega-Metagross,Tapu Koko,Snorlax,Porygon2,Incineroar
2018,https://www.vgcpedia.com/2018-pokemon-world-championships/,Table 1,Junior/Senior,5,Ethan French🇬🇧,,5-1,,,Gengar,Tapu Fini,Landorus,Kartana,Cresselia,Incineroar,Mega-Gengar,Tapu Fini,Landorus therian,Kartana,Cresselia,Incineroar
2018,https://www.vgcpedia.com/2018-pokemon-world-championships/,Table 1,Junior/Senior,8,Westley Long🇺🇸,,4-2,,,Charizard,Gardevoir,Landorus,Tyranitar,Amoonguss,Incineroar,Mega-Charizard Y,Mega-Gardevoir,Landorus therian,Tyranitar,Amoonguss,Incineroar
2018,https://www.vgcpedia.com/2018-pokemon-world-championships/,Table 2,Masters,1,Paul Ruiz🇪🇨,,5-2,,,Salamence,Tapu Koko,Incineroar,Kartana,Gastrodon,Snorlax,Mega-Salamence,Tapu Koko,Incineroar,Kartana,Gastrodon,Snorlax
2018,https://www.vgcpedia.com/2018-pokemon-world-championships/,Table 2,Masters,2,Emilio Forbes🇺🇸,,6-1,,,Gengar,Tapu Bulu,Incineroar,Landorus,Politoed,Latias,Mega-Gengar,Tapu Bulu,Incineroar,Landorus therian,Politoed,Latias
2018,https://www.vgcpedia.com/2018-pokemon-world-championships/,Table 2,Masters,3,Nils Dunlop🇸🇪,,6-1,,,Metagross,Tapu Koko,Incineroar,Landorus,Snorlax,Mimikyu,Mega-Metagross,Tapu Koko,Incineroar,Landorus therian,Snorlax,Mimikyu
2018,https://www.vgcpedia.com/2018-pokemon-world-championships/,Table 2,Masters,4,Yusei Matsuno🇯🇵,,5-2,,,Salamence,Tapu Koko,Incineroar,Snorlax,Amoonguss,Gothitelle,Mega-Salamence,Tapu Koko,Incineroar,Snorlax,Amoonguss,Gothitelle
2018,https://www.vgcpedia.com/2018-pokemon-world-championships/,Table 2,Masters,5,Tomohiro Seki🇯🇵,,6-1,,,Kangaskhan,Tapu Koko,Tapu Fini,Landorus,Heatran,Cresselia,Mega Kangaskhan,Tapu Koko,Tapu Fini,Landorus therian,Heatran,Cresselia
2018,https://www.vgcpedia.com/2018-pokemon-world-championships/,Table 2,Masters,6,Roberto Porreti🇮🇹,,5-2,,,Gengar,Tapu Fini,Incineroar,Landorus,Tyranitar,Kartana,Mega-Gengar,Tapu Fini,Incineroar,Landorus therian,Tyranitar,Kartana
2018,https://www.vgcpedia.com/2018-pokemon-world-championships/,Table 2,Masters,7,Federico Turano🇦🇷,,5-2,,,Charizard,Tapu Lele,Landorus,Kartana,Snorlax,Cresselia,Mega-Charizard Y,Tapu Lele,Landorus therian,Kartana,Snorlax,Cresselia
2018,https://www.vgcpedia.com/2018-pokemon-world-championships/,Table 2,Masters,8,Arash Ommati🇮🇹,,5-2,,,Metagross,Tapu Fini,Tapu Bulu,Landorus,Volcarona,Persian,Mega-Metagross,Tapu Fini,Tapu Bulu,Landorus therian,Volcarona,Alolan Persian
2019,https://www.vgcpedia.com/2019-pokemon-world-championships/,Table 1,Junior/Senior,1,Pi Wu🇹🇼,,–,,,Rayquaza,Xerneas,Tapu Fini,Incineroar,Nihilego,Amoonguss,Mega-Rayquaza,Xerneas,Tapu Fini,Incineroar,Nihilego,Amoonguss
2019,https://www.vgcpedia.com/2019-pokemon-world-championships/,Table 1,Junior/Senior,2,Lewis Tan🇦🇺,,–,,,Groudon,Yveltal,Gengar,Tapu Fini,Incineroar,Ferrothorn,Primal Groudon,Yveltal,Mega-Gengar,Tapu Fini,Incineroar,Ferrothorn
2019,https://www.vgcpedia.com/2019-pokemon-world-championships/,Table 1,Junior/Senior,2,Teddy French🇬🇧,,–,,,Groudon,Necrozma,Mawile,Smeargle,Ferrothorn,Stakataka,Primal Groudon,Necrozma DW,Mega mawile,Smeargle,Ferrothorn,Stakataka
2019,https://www.vgcpedia.com/2019-pokemon-world-championships/,Table 1,Junior/Senior,3,Connor Yuen🇸🇬,,–,,,Groudon,Xerneas,Metagross,Tapu Koko,Incineroar,Tornadus,Primal Groudon,Xerneas,Mega-Metagross,Tapu Koko,Incineroar,Tornadus
2019,https://www.vgcpedia.com/2019-pokemon-world-championships/,Table 1,Junior/Senior,4,Baik Joongyoon🇰🇷,,–,,,Kyogre,Rayquaza,Tapu Koko,Incineroar,Ferrothorn,Nihilego,Primal Kyogre,Mega-Rayquaza,Tapu Koko,Incineroar,Ferrothorn,Nihilego
2019,https://www.vgcpedia.com/2019-pokemon-world-championships/,Table 1,Junior/Senior,4,Yuta Nakaue🇯🇵,,–,,,Kyogre,Yveltal,Tapu Lele,Incineroar,Kartana,Stakataka,Primal Kyogre,Yveltal,Tapu Lele,Incineroar,Kartana,Stakataka
2019,https://www.vgcpedia.com/2019-pokemon-world-championships/,Table 1,Junior/Senior,5,Kareem Muakkit🇺🇸,,–,,,Xerneas,Lunala,Lucario,Tapu Lele,Incineroar,Smeargle,Xerneas,Lunala,Mega-Lucario,Tapu Lele,Incineroar,Smeargle
2019,https://www.vgcpedia.com/2019-pokemon-world-championships/,Table 1,Junior/Senior,6,Enzo Reci🇺🇸,,–,,,Groudon,Xerneas,Kangaskhan,Tapu Lele,Smeargle,Kartana,Primal Groudon,Xerneas,Mega Kangaskhan,Tapu Lele,Smeargle,Kartana
2019,https://www.vgcpedia.com/2019-pokemon-world-championships/,Table 1,Junior/Senior,7,Alessandro Marchionne🇮🇹,,–,,,Kyogre,Rayquaza,Incineroar,Salazzle,Ferrothorn,Crobat,Primal Kyogre,Mega-Rayquaza,Incineroar,Salazzle,Ferrothorn,Crobat
2019,https://www.vgcpedia.com/2019-pokemon-world-championships/,Table 1,Junior/Senior,8,Lee Junhee🇰🇷,,–,,,Kyogre,Lunala,Kangaskhan,Tapu Fini,Landorus,Ferrothorn,Primal Kyogre,Lunala,Mega Kangaskhan,Tapu Fini,Landorus therian,Ferrothorn
2019,https://www.vgcpedia.com/2019-pokemon-world-championships/,Table 1,Junior/Senior,1,Ko Tsukide🇯🇵,,–,,,Rayquaza,Xerneas,Tapu Fini,Incineroar,Togedemaru,Amoonguss,Mega-Rayquaza,Xerneas,Tapu Fini,Incineroar,Togedemaru,Amoongus
2019,https://www.vgcpedia.com/2019-pokemon-world-championships/,Table 1,Junior/Senior,3,Kenshin Hosoi🇯🇵,,–,,,Rayquaza,Xerneas,Tapu Lele,Incineroar,Excadrill,Amoonguss,Mega-Rayquaza,Xerneas,Tapu Lele,Incineroar,Excadrill,Amoongus
2019,https://www.vgcpedia.com/2019-pokemon-world-championships/,Table 2,Masters,4,Kazuki Kobayashi🇯🇵,,–,,,Groudon,Metagross,Tapu Koko,Incineroar,Mimikyu,Amoonguss,Primal Groudon,Mega-Metagross,Tapu Koko,Incineroar,Mimikyu,Amoongus
2019,https://www.vgcpedia.com/2019-pokemon-world-championships/,Table 2,Masters,5,Meaghan Rattle🇦🇺,,–,,,Kyogre,Metagross,Tapu Koko,Incineroar,Amoonguss,Yveltal,Primal Kyogre,Mega-Metagross,Tapu Koko,Incineroar,Amoonguss,Yveltal
2019,https://www.vgcpedia.com/2019-pokemon-world-championships/,Table 2,Masters,1,Naoto Mizobuchi🇯🇵,,–,,,Groudon,Lunala,Salamence,Tapu Fini,Incineroar,Stakataka,Primal Groudon,Lunala,Mega-Salamence,Tapu Fini,Incineroar,Stakataka
2019,https://www.vgcpedia.com/2019-pokemon-world-championships/,Table 2,Masters,2,Hirofumi Kimura🇯🇵,,–,,,Groudon,Necrozma,Salamence,Kangaskhan,Tapu Lele,Umbreon,Primal Groudon,Necrozma DM,Mega-Salamence,Mega Kangaskhan,Tapu Lele,Umbreon
2019,https://www.vgcpedia.com/2019-pokemon-world-championships/,Table 2,Masters,3,James Baek🇺🇸,,–,,,Kyogre,Xerneas,Incineroar,Kartana,Amoonguss,Tornadus,Primal Kyogre,Xerneas,Incineroar,Kartana,Amoonguss,Tornadus
2019,https://www.vgcpedia.com/2019-pokemon-world-championships/,Table 2,Masters,6,Álex Gómez🇪🇸,,–,,,Kyogre,Rayquaza,Tapu Koko,Incineroar,Kartana,Nihilego,Primal Kyogre,Mega-Rayquaza,Tapu Koko,Incineroar,Kartana,Nihilego
2019,https://www.vgcpedia.com/2019-pokemon-world-championships/,Table 2,Masters,7,Eric Rios🇪🇸,,–,,,Kyogre,Rayquaza,Tapu Koko,Incineroar,Kartana,Nihilego,Primal Kyogre,Mega-Rayquaza,Tapu Koko,Incineroar,Kartana,Nihilego
2019,https://www.vgcpedia.com/2019-pokemon-world-championships/,Table 2,Masters,8,Stephen Mea🇺🇸,,–,,,Kyogre,Xerneas,Kangaskhan,Incineroar,Amoonguss,Tornadus,Primal Kyogre,Xerneas,Mega Kangaskhan,Incineroar,Amoonguss,Tornadus
2022,https://www.vgcpedia.com/2022-pokemon-world-championships/,Table 1,Junior/Senior,1,Kosaku Miyamoto 🇯🇵,,4-2,,,Zacian,Calyrex,Blastoise,Whimsicott,Amoonguss,Landorus,Zacian,Calyrex Shadow,Blastoise,Whimsicott,Amoonguss,Landorus
2022,https://www.vgcpedia.com/2022-pokemon-world-championships/,Table 1,Junior/Senior,1,Yasuharu Shimizu 🇯🇵,,5-1,,,Zacian,Groudon,Incineroar,Venusaur,Bronzong,Thundurus,Zacian,Groudon,Incineroar,Venusaur,Bronzong,Thundurus
2022,https://www.vgcpedia.com/2022-pokemon-world-championships/,Table 1,Junior/Senior,2,Kiara Nguyen 🇦🇺,,4-2,,,Zacian,Kyogre,Incineroar,Kartana,Amoonguss,Tornadus,Zacian,Kyogre,Incineroar,Kartana,Amoonguss,Tornadus
2022,https://www.vgcpedia.com/2022-pokemon-world-championships/,Table 1,Junior/Senior,2,Nicholas Kan 🇦🇺,,6-0,,,Zacian,Kyogre,Shedinja,Whimsicott,Kartana,Thundurus,Zacian,Kyogre,Shedinja,Whimsicott,Kartana,Thundurus
2022,https://www.vgcpedia.com/2022-pokemon-world-championships/,Table 1,Junior/Senior,3,Kylan Van Severen 🇨🇦,,5-1,,,Calyrex,Groudon,Incineroar,Charizard,Gastrodon,Thundurus,Calyrex Shadow,Groudon,Incineroar,Charizard,Gastrodon East,Thundurus
2022,https://www.vgcpedia.com/2022-pokemon-world-championships/,Table 1,Junior/Senior,3,Mikoto Inaishi 🇯🇵,,5-1,,,Solgaleo,Kyogre,Rillaboom,Grimmsnarl,Thundurus,Regieleki,Solgaleo,Kyogre,rillaboom,grimmsnarl,Thundurus,Regieleki
2022,https://www.vgcpedia.com/2022-pokemon-world-championships/,Table 1,Junior/Senior,4,Hatsuki Fujiwara 🇯🇵,,5-1,,,Kyogre,Groudon,Whimsicott,Venusaur,Porygon2,Zapdos,Kyogre,Groudon,Whimsicott,Venusaur,Porygon 2,Zapdos
